;Borough;Block;Lot;CD;BCT2020;BCTCB2020;CT2010;CB2010;SchoolDist;Council;ZipCode;FireComp;PolicePrct;HealthCent;HealthArea;Sanitboro;SanitDistr;SanitSub;Address;ZoneDist1;ZoneDist2;ZoneDist3;ZoneDist4;Overlay1;Overlay2;SPDist1;SPDist2;SPDist3;LtdHeight;SplitZone;BldgClass;LandUse;Easements;OwnerType;OwnerName;LotArea;BldgArea;ComArea;ResArea;OfficeArea;RetailArea;GarageArea;StrgeArea;FactryArea;OtherArea;AreaSource;NumBldgs;NumFloors;UnitsRes;UnitsTotal;LotFront;LotDepth;BldgFront;BldgDepth;Ext;ProxCode;IrrLotCode;LotType;BsmtCode;AssessLand;AssessTot;ExemptTot;YearBuilt;YearAlter1;YearAlter2;HistDist;Landmark;BuiltFAR;ResidFAR;CommFAR;FacilFAR;BoroCode;BBL;CondoNo;Tract2010;XCoord;YCoord;ZoneMap;ZMCode;Sanborn;TaxMap;EDesigNum;APPBBL;APPDate;PLUTOMapID;FIRM07_FLA;PFIRM15_FL;Version;DCPEdited;Latitude;Longitude;Notes;Shape_Leng;Shape_Area;guid
966;BK;6992;28;313;3034800;30348001018;348;1008;;47;0;;0;0;0;;;;CONEY ISLAND AVENUE;M3-1;;;;;;;;;;N;V9;11;0;C;DEPARTMENT OF SMALL BUSINESS ERVICES;106816;0;0;0;0;0;0;0;0;0;7;2;0.0;0;0;200.0;100.83;0.0;0.0;;0;Y;5;5;4058100.0;4058100.0;4058100.0;0;0;0;;;0.0;0.0;2.0;0.0;3;3069920028.0;0;0348;987822;150598;28d;;318 061;32103;;0.0;;1;1;1;23v2;;40.580032;-73.9871409;;0.0;12380.7385127;f236bfa5-8739-7746-a4a6-a13fe5b158e0
966;BK;6992;28;313;3034800;30348001018;348;1008;;47;0;;0;0;0;;;;CONEY ISLAND AVENUE;M3-1;;;;;;;;;;N;V9;11;0;C;DEPARTMENT OF SMALL BUSINESS ERVICES;106816;0;0;0;0;0;0;0;0;0;7;2;0.0;0;0;200.0;100.83;0.0;0.0;;0;Y;5;5;4058100.0;4058100.0;4058100.0;0;0;0;;;0.0;0.0;2.0;0.0;3;3069920028.0;0;0348;987822;150598;28d;;318 061;32103;;0.0;;1;1;1;23v2;;40.580032;-73.9871409;;0.0;12380.7385127;fbc435a7-ada8-ef45-81b5-46d5c1622c0a
360;BK;2332;40;301;1002400;10024000001;24;0001;14;2;0;E221;94;14;6300;;;;NORTH 6 STREET;R8;;;;;;;;;;N;V0;11;0;C;NYC DEPARTMENT OF SMALL BUSINESS SERVICES;99108;0;0;0;0;0;0;0;0;0;7;0;0.0;0;0;0.0;0.0;0.0;0.0;;0;Y;9;5;290520.0;290520.0;290520.0;0;0;0;;;0.0;6.02;0.0;6.5;3;3023320040.0;0;0024;994009;201908;12c;;304 001;30804;E-138;3023320001.0;04/26/2007;1;1;1;23v2;;40.7208621;-73.9647936;;0.0;17475.9655973;b6a716b5-4964-2b48-be0b-ff1c0b1440b9
360;BK;2332;40;301;1002400;10024000001;24;0001;14;2;0;E221;94;14;6300;;;;NORTH 6 STREET;R8;;;;;;;;;;N;V0;11;0;C;NYC DEPARTMENT OF SMALL BUSINESS SERVICES;99108;0;0;0;0;0;0;0;0;0;7;0;0.0;0;0;0.0;0.0;0.0;0.0;;0;Y;9;5;290520.0;290520.0;290520.0;0;0;0;;;0.0;6.02;0.0;6.5;3;3023320040.0;0;0024;994009;201908;12c;;304 001;30804;E-138;3023320001.0;04/26/2007;1;1;1;23v2;;40.7208621;-73.9647936;;0.0;17475.9655973;b48e14e2-8c9e-fd47-9d3a-6f5490429213
360;BK;2332;40;301;1002400;10024000001;24;0001;14;2;0;E221;94;14;6300;;;;NORTH 6 STREET;R8;;;;;;;;;;N;V0;11;0;C;NYC DEPARTMENT OF SMALL BUSINESS SERVICES;99108;0;0;0;0;0;0;0;0;0;7;0;0.0;0;0;0.0;0.0;0.0;0.0;;0;Y;9;5;290520.0;290520.0;290520.0;0;0;0;;;0.0;6.02;0.0;6.5;3;3023320040.0;0;0024;994009;201908;12c;;304 001;30804;E-138;3023320001.0;04/26/2007;1;1;1;23v2;;40.7208621;-73.9647936;;0.0;17475.9655973;2d102543-de4b-9246-ae04-f3cdfed24fa7
359;BK;2324;60;103;1002400;10024000001;24;0001;;2;0;;0;0;0;;;;NORTH 6 STREET;R8;R6;;;;;;;;;Y;V0;11;0;C;NYC DEPARTMENT OF PARKS AND RECREATION;79197;0;0;0;0;0;0;0;0;0;7;0;0.0;0;0;0.0;0.0;0.0;0.0;;0;Y;9;5;232080.0;232080.0;232080.0;0;0;0;;;0.0;6.02;0.0;6.5;3;3023240060.0;0;0024;994121;202124;12c;;304 002;30804;E-138;3023240001.0;04/26/2007;1;1;1;23v2;t;40.7214549;-73.9643893;;0.0;8359.5183011;11dbac1c-7600-c149-94e6-f53dee7a451f
94;BK;625;250;307;3001801;30018010001;18;0002;;38;0;;0;0;0;;;;19 STREET;M3-1;;;;;;;;;;N;V1;11;0;C;NYC DEPARTMENT OF GENERAL SERVICES;79040;0;0;0;0;0;0;0;0;0;7;0;0.0;0;0;511.83;204.33;0.0;0.0;;0;Y;2;5;203850.0;203850.0;203850.0;0;0;0;;;0.0;0.0;2.0;0.0;3;3006250250.0;0;0018;984330;182621;16d;;301 043;30301;;3006350013.0;09/20/1988;1;1;1;23v2;t;40.6679292;-73.9997116;;0.0;27947.2314969;147d04df-71a7-3441-815c-b0fc616b5773
368;BK;2472;35;301;3056302;30563020001;563;1002;;33;0;;0;0;0;;;;WEST STREET;R6;;;;;;;;;;N;V0;11;0;C;NYC DEPARTMENT OF SMALL BUSINESS SERVICES;63405;0;0;0;0;0;0;0;0;0;7;0;0.0;0;0;193.12;423.5;0.0;0.0;;0;Y;9;5;19140.0;19140.0;19140.0;0;0;0;;;0.0;2.43;0.0;4.8;3;3024720035.0;0;0563;994692;207075;12c;;304 008;30901;E-138;3024720032.0;09/02/2014;1;1;1;23v2;t;40.7350435;-73.9623216;;0.0;1126.0213816;059b9c87-939b-664b-86f7-78bdbb9c16c5
989;BK;8273;67;318;3105804;31058041000;1058.04;1000;;42;0;;0;0;0;;;;FLATLANDS 7 STREET;R5;;;;;;;;;;N;V0;11;0;C;NYC DEPARTMENT OF PARKS AND RECREATION;57600;0;0;0;0;0;0;0;0;0;7;0;0.0;0;0;100.92;400.0;0.0;0.0;;0;Y;5;5;163980.0;163980.0;163980.0;0;0;0;;;0.0;1.25;0.0;2.0;3;3082730067.0;0;105804;1016753;173443;23c;;317 085;32406;;0.0;;1;1;1;23v2;t;40.6426779;-73.8828802;;0.0;3536.8588018;87f7afa3-bd9e-9444-a8eb-eb2acf6941c5
989;BK;8273;67;318;3105804;31058041000;1058.04;1000;;42;0;;0;0;0;;;;FLATLANDS 7 STREET;R5;;;;;;;;;;N;V0;11;0;C;NYC DEPARTMENT OF PARKS AND RECREATION;57600;0;0;0;0;0;0;0;0;0;7;0;0.0;0;0;100.92;400.0;0.0;0.0;;0;Y;5;5;163980.0;163980.0;163980.0;0;0;0;;;0.0;1.25;0.0;2.0;3;3082730067.0;0;105804;1016753;173443;23c;;317 085;32406;;0.0;;1;1;1;23v2;t;40.6426779;-73.8828802;;0.0;3536.8588018;c1aab02c-67e7-0a43-9983-b9e78882a739
