;OBJECTID;DBH;TPStructur;TPConditio;StumpDiame;PlantingSp;Geometry;GlobalID;GenusSpeci;CreatedDat;UpdatedDat;PlantedDat;RiskRating;RiskRati_1;Location;geometry;guid
40655;4817552;3.0;Full;Good;;7DBFA438-2EFC-47A4-8355-6F69F5D2676F;POINT (-73.9596867006483194 40.7628619508316703);0866F772-EF86-4DC6-AF8A-43845C74801A;Ulmus americana - American elm;2017-01-19 10:53:44.0000000;2018-05-14 02:21:24.0000000;;3.0;;POINT (-73.95968670064832 40.76286195083167);POINT (995417.5645835688 217210.48375012673);69c5eec3-8c71-f542-858c-10a99369f196
40993;4817553;5.0;Full;Good;;DBB7D2D9-AD89-4FAE-8905-C7FA66C92DCA;POINT (-73.9597949046267757 40.7627011632945866);24284876-F383-4A92-83D8-6E8BF458CBFD;Ulmus pumila - Siberian elm;2017-01-19 10:50:36.0000000;2023-08-27 18:18:58.0000000;;5.0;2023-08-27 18:18:58.0000000;POINT (-73.95979490462678 40.76270116329459);POINT (995387.61687523 217151.88979179043);551b063c-0140-7541-8ee8-d1bee950d070
40608;4817551;3.0;Full;Good;;EA182052-9E1B-4653-B314-309976288FFC;POINT (-73.9593621087642532 40.7633026144593700);60C06F3B-A0C6-4BEA-BA4A-B65DD203C725;Zelkova serrata - Japanese zelkova;2017-01-19 10:54:50.0000000;2018-05-14 02:22:01.0000000;;3.0;;POINT (-73.95936210876425 40.76330261445937);POINT (995507.408333568 217371.07354180003);5054f30e-188e-0547-b72f-16776ed05805
41186;4817554;4.0;Full;Good;;27A05008-2908-4C84-9488-4C56381B2B70;POINT (-73.9592303848464496 40.7634896009727896);71E58F6D-70A4-4D5A-AE44-E39DB4F986B5;Zelkova serrata - Japanese zelkova;2017-01-19 10:46:03.0000000;2018-05-14 02:22:37.0000000;;3.0;;POINT (-73.95923038484645 40.76348960097279);POINT (995543.866458562 217439.21583346912);9fc7b9f2-eb27-f840-a060-d7252472a96e
42078;4937629;3.0;Full;Good;;786ED397-CAA9-4321-A69B-39B7908AB53F;POINT (-73.9578711965124853 40.7653467483631786);DE842023-9D1E-435E-8689-B78F983A77AD;Zelkova serrata - Japanese zelkova;2017-05-15 12:24:40.0000000;2018-05-14 02:23:34.0000000;;3.0;;POINT (-73.95787119651249 40.76534674836318);POINT (995920.0589585599 218116.0139584591);7236b8ac-1df0-a448-9fee-c8e294e5b1ff
48511;5220529;3.0;Full;Good;;344272BA-44F3-4E2A-9366-7A8D0191D361;POINT (-73.9656860518551156 40.7546149562882718);B562AABB-8554-466B-81EA-692AFAD91114;Zelkova serrata 'Green Vase' - 'Green Vase' Zelkova;2018-03-15 19:12:00.0000000;2022-04-20 16:06:14.0000000;2017-11-15 05:00:00.0000000;4.0;2022-04-20 16:06:14.0000000;POINT (-73.96568605185512 40.75461495628827);POINT (993756.8052085596 214205.12645845153);940f2b7c-d6cd-ea4b-afc1-e316c29d1cd2
57885;14313042;3.0;Full;Excellent;;CA87758D-F185-4E25-A75F-DE45D34F812F;POINT (-73.9615290760024493 40.7603342564748345);9BFB07F6-920D-4C60-86C5-E0C8128B87C0;Zelkova serrata 'Mushashino' - 'Mushashino' Zelkova;2023-09-20 16:00:00.0000000;;2023-07-05 04:00:00.0000000;3.0;;POINT (-73.96152907600245 40.760334256474835);POINT (994907.5954168881 216289.33229180178);eea5403c-3e74-db49-b501-080035024c0e
57972;14243220;2.0;Retired;Dead;;CA87758D-F185-4E25-A75F-DE45D34F812F;POINT (-73.9615290760024493 40.7603342564748345);60DD8BB7-B59F-42C4-BCDD-A8677891193D;Zelkova serrata - Japanese zelkova;2023-08-22 15:50:00.0000000;2023-09-20 16:00:00.0000000;;3.0;;POINT (-73.96152907600245 40.760334256474835);POINT (994907.5954168881 216289.33229180178);5a69086d-1d6b-3341-9a0f-e5f8bc6b3357
41750;4979369;4.0;Full;Good;;64188DAB-9C1E-4852-A9DA-079F15BE7885;POINT (-73.9570738406299881 40.7664434523642143);C0366706-D67E-473F-83B2-69D671485E4E;Zelkova serrata - Japanese zelkova;2017-06-26 11:02:07.0000000;2018-05-14 02:24:35.0000000;;3.0;;POINT (-73.95707384062999 40.766443452364214);POINT (996140.7379169022 218515.68666678393);9159612d-bc25-6441-ab14-27d5703a49f1
43578;5043496;3.0;Full;Good;;BAFF947B-44DA-43D2-9901-E62A20A0E407;POINT (-73.9555011164866585 40.7685963262766506);C545338C-9918-4148-901C-0BFDA6E140B4;Zelkova serrata - Japanese zelkova;2017-10-03 13:12:00.0000000;2018-05-14 02:25:27.0000000;;3.0;;POINT (-73.95550111648666 40.76859632627665);POINT (996575.9910419004 219300.26729179078);613ddf54-2092-504b-89a2-8046e53c385c
55814;11607437;6.0;Full;Good;;3C744B07-D15B-4002-9DBE-BF619080DC58;POINT (-73.9485453514892725 40.7781182113214697);30FBF922-90F8-45F0-BF08-5F4F8CF40498;Zelkova serrata - Japanese zelkova;2021-06-09 14:20:11.0000000;2021-06-09 14:20:30.0000000;;5.0;2021-06-09 14:20:30.0000000;POINT (-73.94854535148927 40.77811821132147);POINT (998500.6687502256 222770.46333345782);786c40c5-aad4-ec4b-b61b-f0a067227ce0
55715;11621173;4.0;Full;Good;;DF6A9388-5D4D-42E8-BF67-10560551C5D1;POINT (-73.9476146440023712 40.7793971399646722);EC09D424-62BE-446C-A634-45135B8B628D;Zelkova serrata - Japanese zelkova;2021-06-14 11:35:44.0000000;2021-06-14 11:36:23.0000000;;3.0;2021-06-14 11:36:23.0000000;POINT (-73.94761464400237 40.77939713996467);POINT (998758.1550002235 223236.57291679046);0fcd2d28-fc3d-c741-a46a-91e65c0b58db
56553;12917042;5.0;Full;Good;;181D878C-53DE-440A-BC4B-D672D14B7BD3;POINT (-73.9470370294868928 40.7801813215088131);21C70BA8-8376-4B3A-8D71-24CD227AEBD6;Zelkova serrata - Japanese zelkova;2022-05-27 14:43:56.0000000;2022-05-27 14:44:10.0000000;;3.0;2022-05-27 14:44:10.0000000;POINT (-73.94703702948689 40.78018132150881);POINT (998917.9529168897 223522.37291678635);8a185e84-da77-bb43-b48b-6614211e7d40
56448;12917041;3.0;Stump;Dead;6.0;38561748-07EB-4F83-9D7E-0E8874E58F4B;POINT (-73.9467198089770505 40.7806251803278883);2855DB47-8F0F-4D2F-AA03-06F9592D07D1;Zelkova serrata - Japanese zelkova;2022-05-27 14:49:00.0000000;2023-06-29 12:28:57.0000000;;7.0;2022-09-30 15:56:00.0000000;POINT (-73.94671980897705 40.78062518032789);POINT (999005.7079168987 223684.13895845998);b9c8c990-37e3-e041-8de4-3431eada1071
39389;4614590;3.0;Full;Excellent;;47AC3C90-C40E-4BE7-AFFC-5084EF26D1D2;POINT (-73.9531278508681424 40.7717932480111571);E7B47789-8CD8-4139-B825-67AB0EB10196;Zelkova serrata - Japanese zelkova;2016-10-27 11:11:00.0000000;2019-02-13 18:46:00.0000000;2016-05-11 04:00:00.0000000;3.0;;POINT (-73.95312785086814 40.77179324801116);POINT (997232.7516668865 220465.35500013255);1fc298c2-e98e-1444-ba0e-6d2355d20f4c
44080;5073005;4.0;Full;Good;;25E881F8-C9B3-417B-B17C-07CBD1DDD594;POINT (-73.9523091487564841 40.7729562794305949);27DFB7F2-8B87-4AD5-BC0E-180254550989;Zelkova serrata - Japanese zelkova;2017-10-23 18:31:00.0000000;2020-02-13 20:27:16.0000000;;3.0;2020-02-13 20:27:16.0000000;POINT (-73.95230914875648 40.772956279430595);POINT (997459.2868752342 220889.20854179803);78a2173e-837a-814b-b529-20021e222a8d
51482;5403983;3.0;Full;Good;;57923415-936B-42A6-927F-36642F556467;POINT (-73.9400516136335142 40.7897519513331517);3F1C923B-3DF4-420C-B7AB-E5A9CD208E98;Zelkova serrata - Japanese zelkova;2018-06-21 09:32:43.0000000;2018-06-21 13:32:44.0000000;;3.0;;POINT (-73.94005161363351 40.78975195133315);POINT (1000850.1585419024 227010.52583346653);2443b693-96c3-ea4d-b248-05e627dc0f67
51513;5394714;6.0;Stump;Dead;6.0;1E4AA33D-2950-4583-A85B-054D7B81211D;POINT (-73.9353831823237755 40.7961539243456386);D5037D56-8D4A-424B-8FCF-6175483A8AF9;Zelkova serrata - Japanese zelkova;2018-06-13 13:45:00.0000000;2018-12-17 13:16:14.0000000;;8.0;2018-06-13 13:45:00.0000000;POINT (-73.93538318232378 40.79615392434564);POINT (1002141.1614585655 229343.90437512766);ab90868c-07ca-8045-8ba2-d6565d169762
54442;12047708;3.0;Full;Good;;341AE099-7789-42DF-A4BB-0C949337066A;POINT (-73.9334630101848091 40.7987785967720455);001A779C-CDEA-4B4B-B13D-08C422CED541;Zelkova serrata - Japanese zelkova;2021-11-02 15:51:02.0000000;2021-11-02 15:51:42.0000000;;3.0;2021-11-02 15:51:42.0000000;POINT (-73.93346301018481 40.798778596772046);POINT (1002672.093958558 230300.56166679453);78594490-2570-1a4b-96a1-3d461978f974
